Nº,Categoria,Entidad,Email,Telefono,Web_o_Portal,Cordoba,Prioridad,Estado,Ultimo_contacto,Notas,Proximo_paso
1,Obra Social Provincial,APROSS,,,apross.gov.ar,Fuerte,-,Convenio vigente,,Prestador activo (base del pitch),Mantener
2,Obra Social Nacional,PAMI (INSSJP),,138,pami.org.ar,Fuerte,-,Convenio vigente,,Prestador activo; cubre cataratas 100% monofocal,Mantener
3,Gerenciadora,Grupo Gerenciar Salud,comercial@gerenciarsalud.com.ar,11-5886-5653,gerenciarsalud.com.ar,-,P1,En negociacion,2026-08-31,Presupuesto actualizado sin responder,Responder / decidir
4,Prepaga,Sancor Salud,florencia.martinez@sancorsalud.com.ar,0800-7777-72583,prestadores.sancorsalud.com.ar,Fuerte,P1,En curso,2026-09-14,Ellos nos contactaron (convenios directos); canal: conectividad@sancorsalud.com.ar,Avanzar y firmar
5,Prepaga,BRAMED Salud,convenios@bramedsalud.com.ar,,bramedsalud.com.ar,Media,P1,En curso (positivo),2026-09-18,Acordaron mayoria de valores; enviaron grilla,Cerrar grilla y firmar
6,Gestora/Prepaga,Boreal Salud (e-boreal),csantillan@e-boreal.com.ar,0810-555-2673,borealsalud.com.ar,Fuerte,P1,En curso (contrapropuesta),2026-09-22,Contrapropuesta recibida 22/09 (xlsx); pago 45 dias; aumentos por paritarias sanidad,Analizar contrapropuesta y responder
7,Obra Social,OPDEA (Personal de Direccion),doviedo@opdea.org.ar,,opdea.org.ar,Media,P2,Enviado (recontacto 23/09),2026-09-23,Enviado practicas/valores; seguimiento hecho,Esperar respuesta / seguimiento 7-10 días
8,Gestora,Grupo Prolider,info@grupoprolider.com.ar,,grupoprolider.com.ar,Media,P2,Enviado (recontacto 23/09),2026-09-23,Sin respuesta,Esperar respuesta / seguimiento 7-10 días
9,Prepaga,Galeno,doc.mail@galenoargentina.com.ar,,e-galeno.com.ar,Media,P1,Enviado (recontacto 23/09),2026-09-23,Sin respuesta,Esperar respuesta / seguimiento 7-10 días
10,Prepaga,Family Salud,areacomercial@familysalud.com.ar,,familysalud.com.ar,Media,P2,Enviado (recontacto 23/09),2026-09-23,Sin respuesta,Esperar respuesta / seguimiento 7-10 días
11,Obra Social/Prepaga,OSMEDICA (FEMECA),gestionmedicos@osmedica.com,0800-999-1019,osmedica.com.ar,Media,P2,Enviado (recontacto 23/09),2026-09-23,Sin respuesta; auditoria medica 0800-999-1019,Esperar respuesta / seguimiento 7-10 días
12,Prepaga,Proteccion Medica,admincba@proteccionmedica.com.ar,,proteccionmedica.com.ar,Fuerte,P2,Enviado (recontacto 23/09),2026-09-23,Sin respuesta,Esperar respuesta / seguimiento 7-10 días
13,Obra Social,Sanidad (OSPSA / FATSA),info@sanidad.org.ar,0800-999-7264,sanidad.org.ar/ospsa,Media,P2,Enviado,2026-07-21,Sin respuesta; tiene Portal de Prestadores,Recontactar
